Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity,CSRD_Impl
DVB BANK (XET),D:DVBX,-,15022000,2000,Equities,Xetra,Germany,Euro,Investment Banking and Brokerage Services,DVB Bank (XETRA),Dead,0.0
DZ BK DT ZR GENOSSENS CHAFTSBANK FK AM MAIN,86981L,-,21032012,2012,Equities,Deutsche Boerse AG,Germany,Euro,Electricity,DZ Bank Deutsche Zero Genossens Chaftsbank FK AM Main,Dead,0.0
E ON BAYERN,D:ISA,-,1011973,1973,Equities,Deutsche Boerse AG,Germany,Euro,Electricity,E On Bayern,Dead,0.0
E SIQIA GROUP,D:5TQN,-,21112007,2007,Equities,Deutsche Boerse AG,Germany,Euro,Software and Computer Services,E Siqia Group,Dead,0.0
E'ZWO COMPUTERVERTRIEB,937927,-,24051982,1982,Equities,Munich,Germany,Euro,Finance and Credit Services,e'ZWO Computervertrieb,Dead,0.0
E-M-S NEW MEDIA (XET),D:EMNX,-,4012002,2002,Equities,Xetra,Germany,Euro,Media,E-M-S New Media (XETRA),Dead,0.0
EARTHSEARCH COMMS. (XET),D:3ESX,-,30082007,2007,Equities,Xetra,Germany,Euro,Telecommunications Equipment,Earthsearch Communications (XETRA),Dead,0.0
EASY SOFTWARE N (XET),D:ESYX,ESYGn.DE^B22,20041999,1999,Equities,Xetra,Germany,Euro,Real Estate Investment Trusts,Easy Software N (XETRA),Dead,0.0
EBIK,G:EBIK,-,27052005,2005,Equities,Athens,Greece,Euro,Food Producers,Ebik,Dead,0.0
ECENTRA,D:30F,30FG.F^L12,16032011,2011,Equities,Deutsche Boerse AG,Germany,Euro,Investment Banking and Brokerage Services,Ecentra,Dead,0.0
ECON INDUSTRIES,G:BIEF,-,21011988,1988,Equities,Athens,Greece,Euro,Industrial Metals and Mining,Econ Industries,Dead,0.0
ECOTREND HOLDING (XET),D:EC5X,-,18042008,2008,Equities,Xetra,Germany,Euro,Investment Banking and Brokerage Services,Ecotrend Holding (XETRA),Dead,0.0
ED ZUEBLIN AG,866940,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Ed Zueblin AG,Dead,0.0
EDELSTAHLWERK WITTEN,929063,-,26091988,1988,Equities,Deutsche Boerse AG,Germany,Euro,Industrial Metals and Mining,Edelstahlwerk Witten,Dead,0.0
EDSCHA (XET),D:EDHX,-,29041999,1999,Equities,Xetra,Germany,Euro,Automobiles and Parts,Edscha (XETRA),Dead,0.0
