Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity
ONVISTA,D:ONV,ONVG.F^F15,25022000,2000,Equities,Deutsche Boerse AG,Germany,Euro,Media,Onvista,Dead
OTP SZINERGIA VII TOKEVEDETT ZARTVEGU,2631YY,HU00714399.BU^C26,7042015,2015,Equities,Budapest,Hungary,Hungarian Forint,Open End and Miscellaneous Investment Vehicles,OTP Szinergia VII Tokevedett Zartvegu,Dead
PEACHES,D:HYO,HYOG.BE^K15,1122005,2005,Equities,Berlin,Germany,Euro,Investment Banking and Brokerage Services,Peaches,Dead
PEACHES (XET),D:HYOX,-,23012007,2007,Equities,Xetra,Germany,Euro,Investment Banking and Brokerage Services,Peaches (XETRA),Dead
PHARMASGP HOLDING,D:PSG,PSGG.F^H25,19062020,2020,Equities,Deutsche Boerse AG,Germany,Euro,Pharmaceuticals and Biotechnology,Pharmasgp Holding,Dead
PIOVAN,I:PIOV,PVNA.MI^D25,19102018,2018,Equities,Milan,Italy,Euro,Industrial Engineering,Piovan,Dead
PIPER GENV.DTL.,D:PIP,PIPG.MU^A17,26091988,1988,Equities,Munich,Germany,Euro,Aerospace and Defense,Piper Generalvertretung Deutschland,Dead
PLAISIO COMPUTERS,G:PLAI,PLAr.AT^E23,12031999,1999,Equities,Athens,Greece,Euro,Retailers,Plaisio Computers,Dead
POLTRONA FRAU,I:POLF,PFGI.MI^G14,15112006,2006,Equities,Milan,Italy,Euro,Household Goods and Home Construction,Poltrona Frau,Dead
PRAKTIKER,D:PRA,PRAG.F^E17,21112005,2005,Equities,Deutsche Boerse AG,Germany,Euro,Retailers,Praktiker,Dead
PRIMION TECHNOLOGY (XET),D:P4TX,P4TG.DE^D15,10022006,2006,Equities,Xetra,Germany,Euro,Electronic and Electrical Equipment,Primion Technology (XETRA),Dead
PROTON BANK,G:PRO,PRBr.AT^B16,21122005,2005,Equities,Athens,Greece,Euro,Banks,Proton Bank,Dead
PROVALUTA RECYCLING(XET),D:PCVX,-,10122010,2010,Equities,Xetra,Germany,Euro,Investment Banking and Brokerage Services,Provaluta Recycling (XETRA),Dead
PULSION MED SYS. (XET),D:PUSX,-,7062001,2001,Equities,Xetra,Germany,Euro,Medical Equipment and Services,Pulsion Medical Systems (XETRA),Dead
Q CHARGE EUROPE,D:QAG,QAG.BE^A15,13092011,2011,Equities,Berlin,Germany,Euro,Technology Hardware and Equipment,Q Charge Europe,Dead
QMD INTERNATIONAL HOLDINGS,D:JT9,JT9.MU^I24,25052010,2010,Equities,Munich,Germany,Euro,Real Estate Investment and Services,QMD International Holdings,Dead
RALOS NEW ENERGIES,892381,BGHG.SG^J14,15081997,1997,Equities,Stuttgart,Germany,Euro,Waste and Disposal Services,Ralos New Energies,Dead
RDB,I:RDB,RDB.MI^G13,19062007,2007,Equities,Milan,Italy,Euro,Construction and Materials,RDB,Dead
RENDATO (XET),D:B8PX,-,15022008,2008,Equities,Xetra,Germany,Euro,Investment Banking and Brokerage Services,Rendato (XETRA),Dead
RENERGETICA,I:RENE,RENER.MI^B24,9082018,2018,Equities,Milan,Italy,Euro,Alternative Energy,Renergetica,Dead
RGI,I:RGI,RGI1.MI^K09,24112004,2004,Equities,Milan,Italy,Euro,Software and Computer Services,RGI,Dead
RIB SOFTWARE (XET),D:RIBX,RIB.DE^D21,8022011,2011,Equities,Xetra,Germany,Euro,Software and Computer Services,RIB Software (XETRA),Dead
RIGA ELECTRIC MACHINE BUILDING WORKS,LV:REL,RER1R.RI^B21,12042002,2002,Equities,NASDAQ OMX Riga,Latvia,Euro,Industrial Engineering,Riga Electric Machine Building Works,Dead
ROPAL EUROPE (XET),D:RO5X,RO5Kk.DE^G17,24042008,2008,Equities,Xetra,Germany,Euro,Chemicals,Ropal Europe (XETRA),Dead
RUECKER (XET),D:RUKX,-,12052000,2000,Equities,Xetra,Germany,Euro,Automobiles and Parts,Ruecker (XETRA),Dead
SACHSENMILCH,D:SAHA,SAHGk.F^L16,7011992,1992,Equities,Deutsche Boerse AG,Germany,Euro,Food Producers,Sachsenmilch,Dead
SAOS AOY.SHPC.OF SMTE.,G:GALI,GALr.AT^J16,3121997,1997,Equities,Athens,Greece,Euro,Industrial Transportation,Saos Anonymous Shipping Company of Samothrace,Dead
SATTLER & PARTNER,D:SRWA,SRWG.SG^J16,28072000,2000,Equities,Stuttgart,Germany,Euro,Industrial Support Services,Sattler and Partner,Dead
SEBINO ANTINCENDIO,I:SEBA,SEB.MI^I23,19062020,2020,Equities,Milan,Italy,Euro,Industrial Support Services,Sebino Antincendio,Dead
SEDLBAUER,D:SED,SEDG.F^G16,29051989,1989,Equities,Deutsche Boerse AG,Germany,Euro,Electronic and Electrical Equipment,Sedlbauer,Dead
SEMODU N,D:E66,E66n.MU^F25,1082022,2022,Equities,Munich,Germany,Euro,Construction and Materials,Semodu N,Dead
SENVION,D:SEN,SENG.F^K21,22032016,2016,Equities,Deutsche Boerse AG,Germany,Euro,Software and Computer Services,Senvion,Dead
SERVIZI ITALIA,I:SERV,SERIT.MI^L24,4042007,2007,Equities,Milan,Italy,Euro,Industrial Support Services,Servizi Italia,Dead
SHELMAN PROPERTY,G:SELK,SHLr.AT^F16,28031988,1988,Equities,Athens,Greece,Euro,Construction and Materials,Shelman Property,Dead
SHW (XET),D:SW1X,SW1.DE^D21,6072011,2011,Equities,Xetra,Germany,Euro,Non-life Insurance,SHW (XETRA),Dead
SIDENOR,G:ESB,SID.AT^G15,12121994,1994,Equities,Athens,Greece,Euro,Industrial Metals and Mining,Sidenor,Dead
SINNER,D:SIN,SING.H^B19,26091988,1988,Equities,Hamburg,Germany,Euro,Real Estate Investment and Services,Sinner,Dead
SITESERV (ESM),STVP,SSV.I^F12,14112006,2006,Equities,Dublin,Ireland,Euro,Construction and Materials,Siteserv (ESM),Dead
SOFTWARE (XET),D:SOWX,SOWGn.DE^B24,27041999,1999,Equities,Xetra,Germany,Euro,Real Estate Investment Trusts,Software (XETRA),Dead
SOLAR FABRIK (XET),D:SFXX,SFXG.DE^G15,16072002,2002,Equities,Xetra,Germany,Euro,Alternative Energy,Solar Fabrik (XETRA),Dead
SOLAR MILLENNIUM (XET),D:S2MX,-,27072005,2005,Equities,Xetra,Germany,Euro,Alternative Energy,Solar Millennium (XETRA),Dead
SOLEN (XET),D:P1YX,-,30012006,2006,Equities,Xetra,Germany,Euro,Alternative Energy,Solen (XETRA),Dead
SOLON (XET),D:SOOX,-,24111998,1998,Equities,Xetra,Germany,Euro,Alternative Energy,Solon (XETRA),Dead
SOLUTRONIC,D:SSO,SLTR.F^B14,25112010,2010,Equities,Deutsche Boerse AG,Germany,Euro,Alternative Energy,Solutronic,Dead
SPECIAL UNION PRODUCTS,D:YSU,YSU.F^C16,9062010,2010,Equities,Deutsche Boerse AG,Germany,Euro,Investment Banking and Brokerage Services,Special Union Products,Dead
STERN IMMOBILIEN,D:SY5N,SY5N.MU^B25,22102010,2010,Equities,Munich,Germany,Euro,Real Estate Investment and Services,Stern Immobilien,Dead
STEULER FLIESENGRUPPE,D:NST,NSTG.H^G25,26091988,1988,Equities,Hamburg,Germany,Euro,Construction and Materials,Steuler Fliesengruppe,Dead
STOLBERGER TELECOM,D:SZI1,SZIG.F^A14,26091988,1988,Equities,Deutsche Boerse AG,Germany,Euro,Real Estate Investment and Services,Stolberger Telecom,Dead
SUNMIRROR,D:ROR,RORG.F^A24,19022018,2018,Equities,Deutsche Boerse AG,Germany,Euro,Industrial Metals and Mining,Sunmirror,Dead
SUNWAYS,D:SWW,SWWG.F^L14,8022001,2001,Equities,Deutsche Boerse AG,Germany,Euro,Alternative Energy,Sunways,Dead
SWARCO TRAFFIC HLDG.,775692,MTBG.F^K14,12021990,1990,Equities,Deutsche Boerse AG,Germany,Euro,Electronic and Electrical Equipment,Swarco Traffic Holding,Dead
SYNLAB,D:SYAB,SYAB.H^G25,30042021,2021,Equities,Hamburg,Germany,Euro,Real Estate Investment Trusts,Synlab,Dead
TDS INFOTG.,D:TDS,TDSG.F^F12,25061998,1998,Equities,Deutsche Boerse AG,Germany,Euro,Food Producers,TDS Informationstechnologie,Dead
TELECOM ITALIA MEDIA,I:TME,TCM.MI^J15,2011997,1997,Equities,Milan,Italy,Euro,Media,Telecom Italia Media,Dead
